start,end,size,internal_calls,imports
00013D5C,000145A0,2116,0000DDD0 0000DF14 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24,sqrt sqrt
000145A0,0001487C,732,00014914 0000FCD8 000101A0 000107B4 0001487C 0001487C 0001487C 0000473C 0000419C 0000419C 0000419C,DebugStr
0001487C,00014914,152,0001B8F0,
00014914,000161D0,6332,0000E6F4 0000E7DC 00011318 0001487C 0000E7DC 0000E7DC 0000E6F4 0000E7DC 0000E7DC 0000E7DC 0000E6F4 0000E7DC 0000E6F4 00011318 0001487C 0000E7DC 0000E7DC 0000E7DC 0000E7DC 00011318 0001487C,Random Random Random Random Random
000161D0,00016390,448,00004E24 00011318 0000F488 0001487C,
00016390,00016504,372,00011318 0000F488 0001487C,
00016504,0001663C,312,00011318 0000F488 0001487C,
0001663C,00016BB4,1400,00004A9C 00002628 00004134 00004064 00016DA4 000107B4 0000FA2C 0000F8D8 0000F8D8 0000419C 0000DFBC 000124B0 0000DFBC 00012370 0000DFBC 00004E24 00004E24 0000FCD8 0000E0C4 00004A9C 00002628,sqrt
00016BB4,00016D6C,440,00004064 0000F7FC,
00016D6C,00016DA4,56,0001487C 0001663C,
00016DA4,0001708C,744,00002F1C 00002F1C 0000F7FC 00016BB4 0000F7FC 00016BB4 0000F7FC 00016BB4 0000F7FC 00016BB4,
0001708C,000172DC,592,000041E4,SectRect DebugStr DebugStr
000172DC,000173F8,284,0001708C 0000E240 000192FC 000107B4,
000173F8,000174E8,240,0001708C 00019DFC 0001708C 000181A4,
000174E8,000177A8,704,0001708C 0001487C 0000F390 000107B4 0000E55C 0000F334 0001708C 000181A4,sqrt sqrt
000177A8,0001801C,2164,0001708C 0001487C 0000F390 0001487C 0000F3E0 0001487C 0001487C 0001487C 0001487C 0000F390 00004E24 0001487C 00002F1C 0000F334 0001487C 00002F1C 0000F390 0001487C 0000F7FC 0001487C 0000F7FC 0001487C 0000F7FC 0001487C 0000F7FC 0001487C 0000F7FC 0001487C 0000F558 00004E24 0001487C 0000F7FC 0001487C 0000F7FC 0001487C 0000F7FC 0001487C 0000F7FC 000124B0 0001708C 000181A4,Random sqrt
0001801C,000181A4,392,0001708C 0001487C 0000E240 00019DFC 0000F390 000107B4 000124B0 0001708C 0000E240 000181A4,
000181A4,000192FC,4440,00019D1C 00019D40 00019D1C 000107B4 00019D40 000107B4 00019D1C 00019D1C 00019D1C 00019D1C 00019D40 00019D40 000107B4 00019D1C 00019D1C 00019D1C 000107B4 000107B4 000107B4 00019D1C 00019D1C 00019D40 00019D1C 00019D40 00019D40 00019D1C 000107B4 000107B4 00019D1C 00019D40 000107B4 000107B4 00019D40 00019D1C 000192FC 00019DD8 00019D40 000192FC 000107B4 000107B4 00019D40 00019D40 000124B0 000192FC 000192FC 00019D1C 00019D1C 000192FC 000107B4 000107B4 000107B4 0001487C,LMGetTicks LMGetTicks
000192FC,00019D1C,2592,0001487C 0001487C 000107B4 0001487C 0000F558 000107B4 000124B0 0001487C 000107B4 0001487C 000107B4 0001A3D8 0001A3D8 00013D5C 0000F420 0001487C 000107B4 0001487C 00004E24 00004E24 0001A3D8 0000F420 0001487C 0001487C 00011318 00004E24 00004E24 00011318 00004E24 0000F488 0001487C 000107B4 0001487C 0001487C 000107B4 000107B4 00004E24 0001487C 000161D0 00016504 00016390,Random Random
00019D1C,00019D40,36,,
00019D40,00019DD8,152,,
00019DD8,00019DFC,36,,
00019DFC,0001A3D8,1500,0001487C 0001487C 0000E55C 0000F334 000107B4 0000F390 000107B4,sqrt sqrt
0001A3D8,0001A55C,388,00004E24,Random
0001A55C,0001A70C,432,0001487C 0000F390 0000F3E0 00002F1C 0000F334 00002F1C 0000F390 00016BB4,sqrt
0001A70C,0001AA4C,832,0001AA4C 0001AAA0,GetToolTrapAddress GetToolTrapAddress SndSoundManagerVersion Gestalt Gestalt NewRoutineDescriptor NewRoutineDescriptor NewPtr MemError
0001AA4C,0001AAA0,84,,NewPtrClear MemError
0001AAA0,0001AC14,372,0001AC14,DisposePtr DisposeRoutineDescriptor DisposeRoutineDescriptor HUnlock DisposeHandle DisposePtr DisposePtr
0001AC14,0001ACE0,204,,SndDisposeChannel DisposePtr DisposePtr
0001ACE0,0001AD30,80,0001AC14,
0001AD30,0001AEEC,444,,SndNewChannel NewPtr MemError NewPtr DisposePtr MemError
0001AEEC,0001AF3C,80,0001AD30,
0001AF3C,0001B014,216,,SndDoImmediate SndDoImmediate HUnlock
